State,Element,Notes,Value,Units,BegDate,EndDate,Location,Station ID,Status
Alabama,All-Time Maximum Temperature,112,degrees F,19250906,19250906,CENTREVILLE,11520,E,
Alabama,All-Time Minimum Temperature,-27,degrees F,19660130,19660130,NEW MARKET 2,15867,E,
Alaska,All-Time Maximum Temperature,100,degrees F,19150627,19150627,FORT YUKON,26413,E,
Alaska,All-Time Minimum Temperature,-80,degrees F,19710123,19710123,PROSPECT CREEK,507778,E,
Arizona,All-Time Maximum Temperature,128,degrees F,19940629,19940629,LAKE HAVASU CITY,24761,E,
Arizona,All-Time Minimum Temperature,-40,degrees F,19710107,19710107,HAWLEY LAKE,23926,E,
Arkansas,All-Time Maximum Temperature,120,degrees F,19360810,19360810,OZARK,35508,E,
Arkansas,All-Time Minimum Temperature,-29,degrees F,19050213,19050213,GRAVETTE,32930,E,
California,All-Time Maximum Temperature,134,degrees F,19130710,19130710,GREENLAND RANCH,43603,E,
California,All-Time Minimum Temperature,-45,degrees F,19370120,19370120,BOCA,40931,E,
Colorado,All-Time Maximum Temperature,115,degrees F,20190720,20190720,JOHN MARTIN DAM,54388,NA,"Replaces previous established record of 114 degrees F set at Las Animas on July 1, 1933 and tied at Sedgwick on July 11, 1954. Also, a 118 degrees F report that had persisted in the record books at Bennett, CO on July 11, 1888 was found to be a transcription error. Area temperatures were ~15-20 degrees cooler on that date. View report."
Colorado,All-Time Minimum Temperature,-61,degrees F,19850201,19850201,MAYBELL,55446,E,
Connecticut,All-Time Maximum Temperature,106,degrees F,19160823,19160823,TORRINGTON (1),68438,E1,
Connecticut,All-Time Maximum Temperature,106,degrees F,19950715,19950715,DANBURY,61762,E1,
Connecticut,All-Time Minimum Temperature,-32,degrees F,19430216,19430216,FALLS VILLAGE,62658,E1,
Connecticut,All-Time Minimum Temperature,-32,degrees F,19610122,19610122,COVENTRY,61689,E1,
Delaware,All-Time Maximum Temperature,110,degrees F,19300721,19300721,MILLSBORO,76020,E,
Delaware,All-Time Minimum Temperature,-17,degrees F,18930117,18930117,MILLSBORO,76020,E,
Florida,All-Time Maximum Temperature,109,degrees F,19310629,19310629,MONTICELLO 5 SE,85879,E,
Florida,All-Time Minimum Temperature,-2,degrees F,18990213,18990213,TALLAHASSEE,88754,E,
Georgia,All-Time Maximum Temperature,112,degrees F,19830820,19830820,GREENVILLE,93915,E1,
Georgia,All-Time Maximum Temperature,112,degrees F,19520724,19520724,LOUISVILLE 1 E,95314,E1,
Georgia,All-Time Minimum Temperature,-17,degrees F,19400127,19400127,CCC Fire Camp F-16 (nr. Beatum),,EA,"Record of -17 degrees F at Civilian Conservation Corps Logging Camp F-16 is congruent with similar low temperatures observed in the area on January 27, 1940. This observation is archived as part of the National Archives CCC collection."
Hawaii,All-Time Maximum Temperature,100,degrees F,19310427,19310427,PAHALA 21,517421,E,
Hawaii,All-Time Minimum Temperature,12,degrees F,19790517,19790517,MAUNA KEA OBSERVATORY 111.,516183,E,
Idaho,All-Time Maximum Temperature,118,degrees F,19340728,19340728,OROFINO,106681,E,
Idaho,All-Time Minimum Temperature,-60,degrees F,19430118,19430118,ISLAND PARK,104598,E,
Illinois,All-Time Maximum Temperature,117,degrees F,19540714,19540714,EAST ST LOUIS PARKS COLLEGE,112614,E,
Illinois,All-Time Minimum Temperature,-38,degrees F,20190131,20190131,MOUNT CARROLL,115901,NS,"This value exceeded the previous record of -36 degrees F, observed at Congerville on 5 January 1999. View report"
Indiana,All-Time Maximum Temperature,116,degrees F,19360714,19360714,COLLEGEVILLE ST JOSEPH COUNTY AP,121719,E,
Indiana,All-Time Minimum Temperature,-36,degrees F,19940119,19940119,NEW WHITELAND,126304,E,
Iowa,All-Time Maximum Temperature,118,degrees F,19340720,19340720,KEOKUK NO 2,134372,EA,"The value of 118 degrees F is confirmed as a valid observation, but the station sits on a bluff above the river and the observation is characteristic more of the local microclimate than the area climate. If this value is in doubt, the next highest value is 117 degrees F on July 25, 1936 at both Logan and Atlantic."
Iowa,All-Time Minimum Temperature,-47,degrees F,19960203,19960203,ELKADER 6 SSW,132603,E1,
Iowa,All-Time Minimum Temperature,-47,degrees F,19120112,19120112,WASHTA,138693,E1,
Kansas,All-Time Maximum Temperature,121,degrees F,19360718,19360718,FREDONIA,142894,E1,
Kansas,All-Time Maximum Temperature,121,degrees F,19360724,19360724,ALTON 1 W,140201,E1,
Kansas,All-Time Minimum Temperature,-40,degrees F,19050213,19050213,LEBANON,144598,E,
Kentucky,All-Time Maximum Temperature,114,degrees F,19300728,19300728,GREENSBURG,153430,E,
