Name in English,Degree of endangerment,Number of speakers,Latitude,Longitude,Countries
South Italian,Vulnerable,7500000,40.9798,15.249,Italy
Sicilian,Vulnerable,5000000,37.4399,14.5019,Italy
Low Saxon,Vulnerable,4800000,53.4029,10.3601,"Germany, Denmark, Netherlands, Poland, Russia"
Belarusian,Vulnerable,4000000,53.956,27.5756,"Belarus, Latvia, Lithuania, Poland, Russia, Ukraine"
Lombard,Definitely endangered,3500000,45.7215,9.3273,"Italy, Switzerland"
Romani,Definitely endangered,3500000,46.3165,22.3681,"Albania, Germany, Austria, Belarus, Bosnia and Herz., Bulgaria, Croatia, Estonia, Finland, France, Greece, Hungary, Italy, Latvia, Lithuania, Macedonia, Netherlands, Poland, Romania, United Kingdom of Great Britain and Northern Ireland, Russia, Slovakia, Slovenia, Switzerland, Czechia, Turkey, Ukraine, Serbia, Montenegro"
Yiddish (Israel),Definitely endangered,3000000,32.0833,34.8333,Israel
Gondi,Vulnerable,2713790,19.5804,80.4418,India
Limburgian-Ripuarian,Vulnerable,2600000,50.7781,6.0864,"Germany, Belgium, Netherlands"
Quechua of Southern Bolivia,Vulnerable,2300000,-18.0675,-65.7641,Bolivia
Kumaoni,Vulnerable,2003783,29.4778,79.8486,"India, Nepal"
Aymara,Vulnerable,2000000,-16.5835,-68.302,"Bolivia, Chile, Peru"
Emilian-Romagnol,Definitely endangered,2000000,44.127,12.0739,"Italy, San Marino"
Piedmontese,Definitely endangered,2000000,45.2013,7.8662,Italy
Venetan,Vulnerable,2000000,45.4601,12.1948,"Croatia, Italy, Slovenia"
Zazaki,Vulnerable,2000000,38.8824,40.4846,Turkey
Kurux (India),Vulnerable,1751489,22.1467,85.2758,India
Tamajeq,Vulnerable,1750000,17.2352,8.0859,Niger
Tulu,Vulnerable,1722768,12.0178,75.7067,India
Kangdi,Definitely endangered,1700000,32.4356,76.1242,India
Scots,Vulnerable,1500000,56.2189,-3.7683,United Kingdom of Great Britain and Northern Ireland
Torlak,Vulnerable,1500000,42.9644,22.1374,"Albania, Bulgaria, Macedonia, Romania, Serbia"
West Flemish,Vulnerable,1500000,51.0275,3.0541,"Belgium, France, Netherlands"
