Provice,Rank,gdpPerCapita
China (mainland),0,"10,276"
Macao,1,"84,096"
Hong Kong,2,"48,713"
Beijing,3,"23,805"
Shanghai,4,"22,799"
Jiangsu,5,"17,918"
Zhejiang,6,"15,601"
Fujian,7,"15,531"
Guangdong,8,"13,651"
Tianjin,9,"13,100"
Hubei,10,"11,218"
Chongqing,11,"10,992"
Shandong,12,"10,242"
Inner Mongolia,13,"9,836"
Shaanxi,14,"9,661"
Anhui,15,"8,479"
Hunan,16,"8,341"
Liaoning,17,"8,290"
Hainan,18,"8,191"
Henan,19,"8,174"
Sichuan,20,"8,085"
Xinjiang,21,"7,868"
Ningxia,22,"7,859"
Jiangxi,23,"7,707"
Qinghai,24,"7,100"
Tibet,25,"7,089"
Yunnan,26,"6,950"
Guizhou,27,"6,731"
Hebei,28,"6,719"
Shanxi,29,"6,628"
Jilin,30,"6,302"
Guangxi,31,"6,228"
Heilongjiang,32,"5,245"
Gansu,33,"5,083"
