State,Year,AnnualSalary,FullTimeEmploymentEquivalent
AL,2010,45902,1641
AL,2011,46021,1604
AL,2012,45816,1458
AL,2013,45226,1389
AL,2014,44908,1367
AL,2015,46360,1324
AL,2016,47855,1291
AL,2017,53116,1283
AL,2018,54860,1269
AL,2019,64543,1479
AK,2010,69721,676
AK,2011,72425,673
AK,2012,76578,655
AK,2013,77676,671
AK,2014,81138,696
AK,2015,79670,673
AK,2016,79196,650
AK,2017,85624,651
AK,2018,91448,627
AK,2019,98391,621
AZ,2010,61860,2048
AZ,2011,61168,1910
AZ,2012,63409,2926
AZ,2013,62696,3004
AZ,2014,60427,1928
AZ,2015,62192,1936
AZ,2016,61942,1932
AZ,2017,61984,1993
AZ,2018,63098,1976
AZ,2019,63404,1965
AR,2010,44208,1211
AR,2011,45765,1228
AR,2012,45114,1235
AR,2013,44772,1224
AR,2014,45384,1242
AR,2015,45518,1229
AR,2016,46430,1214
AR,2017,46990,1361
AR,2018,49271,1405
AR,2019,49805,1413
CA,2010,78888,11924
CA,2011,82237,11564
CA,2012,85403,11041
CA,2013,88153,10944
CA,2014,94176,11347
CA,2015,99041,11257
CA,2016,100640,11216
CA,2017,102326,11538
CA,2018,106777,11348
CA,2019,129243,10941
CO,2010,64427,1507
CO,2011,50729,1507
CO,2012,65906,1226
CO,2013,65913,1226
CO,2014,66117,1226
CO,2015,66181,1263
CO,2016,71707,1265
CO,2017,73808,1265
CO,2018,83551,1451
CO,2019,83142,1423
CT,2010,69023,1868
CT,2011,70614,1865
CT,2012,84448,1873
CT,2013,84794,1957
CT,2014,86264,1947
CT,2015,85977,1921
CT,2016,88105,1938
CT,2017,93519,1912
CT,2018,100310,1834
CT,2019,107504,1737
DE,2010,68902,999
DE,2011,73403,1000
DE,2012,77322,1012
DE,2013,77327,1058
DE,2014,77697,1065
DE,2015,80083,1100
DE,2016,79749,1095
DE,2017,86031,1093
DE,2018,83657,1097
DE,2019,89500,1099
FL,2010,46742,4372
FL,2011,47423,4287
FL,2012,46007,4242
FL,2013,45784,4128
FL,2014,47366,4272
FL,2015,49017,4137
FL,2016,47406,4206
FL,2017,48138,4115
FL,2018,49709,4257
FL,2019,51705,4279
GA,2010,45593,2041
GA,2011,46342,1931
GA,2012,40366,3021
GA,2013,38344,3032
GA,2014,41513,2924
GA,2015,43249,2846
GA,2016,47286,2593
GA,2017,55617,2646
GA,2018,54797,2604
