,Event,Date,Result,Opponent,Magnus Color,a pawn,b pawn,c pawn,d pawn,e pawn,f pawn,g pawn,h pawn,queen-side rook,queen-side knight,queen-side bishop,queen,king,king-side bishop,king-side knight,king-side rook
0,Troll Masters,2001.01.05,1/2-1/2,"Edvardsen,R",Black,0,2.0,1.0,3.414213562373095,2.0,0,0,0,17.0,4.47213595499958,9.899494936611667,12.06449510224598,4.414213562373095,8.485281374238571,2.23606797749979,4.0
1,Troll Masters,2001.01.06,0-1,"Brameld,A",White,1.0,3.414213562373095,1.0,3.414213562373095,3.0,0,1.0,2.0,1.0,8.94427190999916,7.071067811865475,1.4142135623730951,5.0,9.899494936611667,8.94427190999916,10.0
2,Troll Masters,2001.01.07,1-0,"Fant,G",White,1.0,1.4142135623730951,0.0,2.0,4.414213562373095,0,1.0,2.0,4.0,2.23606797749979,15.556349186104045,8.65685424949238,2.0,5.656854249492381,6.708203932499369,8.0
3,Troll Masters,2001.01.08,1/2-1/2,"Tallaksen,G",Black,2.0,2.414213562373095,2.0,3.414213562373095,3.0,0,1.0,0,10.828427124746192,6.708203932499369,5.65685424949238,5.0,4.414213562373095,9.48528137423857,11.543203766865057,11.0
4,Troll Masters,2001.01.08,0-1,"Nilssen,J",White,0,0.0,3.414213562373095,2.0,3.414213562373095,0,0,0,0.0,4.47213595499958,4.242640687119286,9.242640687119286,2.0,1.4142135623730951,13.416407864998739,3.0
5,Troll Masters,2001.01.09,1-0,"Grubert,C",Black,0,1.0,2.414213562373095,2.0,4.23606797749979,2.0,1.0,0,2.0,9.47213595499958,9.071067811865476,3.0,3.414213562373095,5.656854249492381,9.122417494872465,2.0
6,Troll Masters,2001.01.10,1-0,"Johansen,KR",White,0,1.4142135623730951,0.0,4.82842712474619,2.0,3.414213562373095,0,1.0,5.0,2.23606797749979,12.727922061357857,6.414213562373095,2.8284271247461903,8.485281374238571,4.47213595499958,6.0
7,Troll Masters,2001.01.11,1-0,"Sorensen,H",Black,1.0,13.0,6.242640687119286,6.242640687119285,2.0,3.0,1.0,0,18.94427190999916,20.12461179749811,12.727922061357859,9.242640687119286,7.0710678118654755,16.970562748477143,4.47213595499958,9.0
8,Troll Masters,2001.01.12,0-1,"Moen,A",White,0,0.0,1.0,2.0,2.0,1.0,2.414213562373095,0,4.0,2.23606797749979,7.0710678118654755,4.82842712474619,7.414213562373095,7.0710678118654755,6.708203932499369,10.0
9,Open NOR-ch,2001.04.07,0-1,"Hagberg,Oivind",Black,0,0.0,0.0,2.414213562373095,2.0,11.313708498984761,3.0,1.0,12.0,11.180339887498949,7.0710678118654755,24.313708498984763,3.0,1.4142135623730951,2.23606797749979,13.0
10,Open NOR-ch,2001.04.08,0-1,"Sollid,Stein",White,0,0.0,1.0,3.82842712474619,2.0,1.0,0,0,4.0,6.708203932499369,7.0710678118654755,5.242640687119286,3.0,14.142135623730953,6.708203932499369,2.0
11,Open NOR-ch,2001.04.08,0-1,"Flores,R",Black,3.0,3.8284271247461903,12.358485472372255,2.0,4.0,0,1.0,0,13.0,6.708203932499369,7.0710678118654755,18.899494936611667,3.0,1.4142135623730951,11.180339887498949,6.0
12,Open NOR-ch,2001.04.09,0-1,"Breivik,Lars",White,2.0,1.0,2.0,2.0,3.0,2.0,2.414213562373095,0,3.0,8.94427190999916,7.0710678118654755,9.485281374238571,5.82842712474619,16.970562748477143,2.23606797749979,4.0
13,Open NOR-ch,2001.04.10,0-1,"Kabashaj,Agron",Black,1.0,2.0,5.650281539872885,2.0,5.414213562373095,16.97056274847714,5.82842712474619,0,21.0,4.47213595499958,35.35533905932738,0.0,2.0,6.65685424949238,17.88854381999832,19.0
14,Open NOR-ch,2001.04.11,1/2-1/2,"Rukovci,Shemsi",White,0,0.0,2.0,2.0,0.0,0,0,0,0.0,6.708203932499369,0.0,3.0,0.0,0.0,0.0,0.0
15,Open NOR-ch,2001.04.12,0-1,"Aarefjord,Christian",Black,3.0,1.0,3.414213562373095,2.0,2.0,0,5.414213562373095,3.0,23.0,6.708203932499369,19.798989873223334,22.071067811865476,6.414213562373095,14.142135623730953,7.708203932499369,21.0
16,Open NOR-ch,2001.04.13,1-0,"Johansen,SA",White,1.0,3.0,2.0,1.0,3.0,2.0,0,1.0,7.0,15.652475842498529,0.0,13.727922061357857,2.0,5.65685424949238,8.94427190999916,2.0
17,Open NOR-ch,2001.04.14,1-0,"Badea,B",Black,2.0,7.0,12.358485472372255,9.0,9.122417494872465,0,0,0,11.0,13.416407864998739,7.0710678118654755,13.0,3.0,21.31370849898476,3.6502815398728847,34.48528137423857
18,Classics IMA,2001.04.15,0-1,"Vegh,E",White,0,1.4142135623730951,0.0,2.0,2.0,3.414213562373095,0,1.0,8.0,2.23606797749979,9.899494936611667,9.65685424949238,3.414213562373095,9.899494936611667,11.180339887498949,6.0
19,Classics IMA,2001.04.16,0-1,"Hole,O",White,0,2.414213562373095,2.0,2.0,3.0,0,0,3.0,4.0,2.23606797749979,9.899494936611667,19.485281374238568,3.414213562373095,2.8284271247461903,4.47213595499958,20.0
20,Classics IMA,2001.04.17,1/2-1/2,"Hersvik,D",Black,8.071067811865476,2.0,3.414213562373095,2.0,1.0,0,1.0,4.650281539872885,17.0,6.708203932499369,21.213203435596427,12.242640687119286,3.0,32.526911934581186,6.708203932499369,16.414213562373096
21,Classics IMA,2001.04.18,0-1,"Hermansson,E",White,0,0.0,2.414213562373095,2.0,3.0,3.414213562373095,2.0,3.414213562373095,2.0,6.708203932499369,9.899494936611665,8.242640687119286,2.0,2.8284271247461903,11.180339887498949,6.0
22,Classics IMA,2001.04.19,1-0,"Hitzgerova,G",Black,3.8284271247461903,3.0,2.414213562373095,2.414213562373095,2.0,1.0,1.0,0,5.0,15.652475842498529,7.0710678118654755,11.714776642118865,4.414213562373095,9.899494936611667,2.23606797749979,7.0
23,Classics IMA,2001.04.19,1/2-1/2,"Caoili,A",White,2.0,3.0,0.0,2.0,2.0,0,0,0,15.0,6.708203932499369,18.384776310850235,11.899494936611665,3.0,8.485281374238571,4.47213595499958,7.0
