Country,Status,Languages
Venezuela,Definitely endangered,7
Guinea-Bissau,Vulnerable,1
Nicaragua,Critically endangered,2
Uganda,Extinct,3
Colombia,Definitely endangered,28
Thailand,Vulnerable,2
Mexico,Critically endangered,21
India,Extinct,6
Canada,Definitely endangered,18
Ghana,Vulnerable,3
Peru,Severely endangered,14
Timor-Leste,Vulnerable,4
Malaysia,Severely endangered,9
Nigeria,Extinct,2
Australia,Extinct,6
Costa Rica,Definitely endangered,2
Poland,Severely endangered,2
Costa Rica,Severely endangered,1
Israel,Definitely endangered,3
Senegal,Vulnerable,10
Guinea,Severely endangered,5
Côte d'Ivoire,Severely endangered,2
Côte d'Ivoire,Extinct,2
Bhutan,Definitely endangered,9
Guinea-Bissau,Critically endangered,2
Yemen,Severely endangered,2
Uzbekistan,Severely endangered,1
Tajikistan,Severely endangered,6
Canada,Vulnerable,24
Croatia,Extinct,1
Uganda,Severely endangered,1
Nicaragua,Definitely endangered,2
Georgia,Definitely endangered,5
Ethiopia,Critically endangered,6
Australia,Definitely endangered,13
Tanzania,Vulnerable,4
Bhutan,Vulnerable,10
Oman,Definitely endangered,2
Gabon,Severely endangered,4
Serbia,Vulnerable,1
Senegal,Definitely endangered,1
Cambodia,Vulnerable,1
Russia,Severely endangered,32
Tokelau,Severely endangered,1
Ecuador,Definitely endangered,10
Tanzania,Extinct,2
New Caledonia,Severely endangered,3
Ghana,Definitely endangered,1
Bulgaria,Vulnerable,1
Jordan,Severely endangered,1
Dem. Rep. Congo,Critically endangered,2
Guatemala,Definitely endangered,7
Vanuatu,Critically endangered,22
Greece,Definitely endangered,3
Nepal,Extinct,1
Malaysia,Definitely endangered,5
W. Sahara,Critically endangered,1
Japan,Critically endangered,1
Thailand,Critically endangered,4
Philippines,Definitely endangered,3
Peru,Vulnerable,10
Nepal,Severely endangered,13
Latvia,Definitely endangered,2
Norfolk Island,Definitely endangered,1
Tanzania,Severely endangered,2
Morocco,Vulnerable,1
India,Vulnerable,82
Libya,Critically endangered,1
Sierra Leone,Critically endangered,2
Bosnia and Herz.,Definitely endangered,1
Bolivia,Definitely endangered,11
Netherlands,Definitely endangered,2
Nepal,Definitely endangered,33
Albania,Severely endangered,1
Belize,Severely endangered,1
Myanmar,Critically endangered,6
Morocco,Severely endangered,2
Italy,Vulnerable,5
Uganda,Vulnerable,1
Central African Rep.,Vulnerable,1
