Country,Name,Status,Speakers,Latitude,Longitude
Italy,South Italian,Vulnerable,7500000,40.9798,15.249
Italy,Sicilian,Vulnerable,5000000,37.4399,14.5019
Germany,Low Saxon,Vulnerable,4800000,53.4029,10.3601
Denmark,Low Saxon,Vulnerable,4800000,53.4029,10.3601
Netherlands,Low Saxon,Vulnerable,4800000,53.4029,10.3601
Poland,Low Saxon,Vulnerable,4800000,53.4029,10.3601
Russia,Low Saxon,Vulnerable,4800000,53.4029,10.3601
Belarus,Belarusian,Vulnerable,4000000,53.956,27.5756
Latvia,Belarusian,Vulnerable,4000000,53.956,27.5756
Lithuania,Belarusian,Vulnerable,4000000,53.956,27.5756
Poland,Belarusian,Vulnerable,4000000,53.956,27.5756
Russia,Belarusian,Vulnerable,4000000,53.956,27.5756
Ukraine,Belarusian,Vulnerable,4000000,53.956,27.5756
Italy,Lombard,Definitely endangered,3500000,45.7215,9.3273
Switzerland,Lombard,Definitely endangered,3500000,45.7215,9.3273
Albania,Romani,Definitely endangered,3500000,46.3165,22.3681
Germany,Romani,Definitely endangered,3500000,46.3165,22.3681
Austria,Romani,Definitely endangered,3500000,46.3165,22.3681
Belarus,Romani,Definitely endangered,3500000,46.3165,22.3681
Bosnia and Herz.,Romani,Definitely endangered,3500000,46.3165,22.3681
Bulgaria,Romani,Definitely endangered,3500000,46.3165,22.3681
Croatia,Romani,Definitely endangered,3500000,46.3165,22.3681
Estonia,Romani,Definitely endangered,3500000,46.3165,22.3681
Finland,Romani,Definitely endangered,3500000,46.3165,22.3681
France,Romani,Definitely endangered,3500000,46.3165,22.3681
Greece,Romani,Definitely endangered,3500000,46.3165,22.3681
Hungary,Romani,Definitely endangered,3500000,46.3165,22.3681
Italy,Romani,Definitely endangered,3500000,46.3165,22.3681
Latvia,Romani,Definitely endangered,3500000,46.3165,22.3681
Lithuania,Romani,Definitely endangered,3500000,46.3165,22.3681
Macedonia,Romani,Definitely endangered,3500000,46.3165,22.3681
Netherlands,Romani,Definitely endangered,3500000,46.3165,22.3681
Poland,Romani,Definitely endangered,3500000,46.3165,22.3681
Romania,Romani,Definitely endangered,3500000,46.3165,22.3681
United Kingdom of Great Britain and Northern Ireland,Romani,Definitely endangered,3500000,46.3165,22.3681
Russia,Romani,Definitely endangered,3500000,46.3165,22.3681
Slovakia,Romani,Definitely endangered,3500000,46.3165,22.3681
Slovenia,Romani,Definitely endangered,3500000,46.3165,22.3681
Switzerland,Romani,Definitely endangered,3500000,46.3165,22.3681
Czechia,Romani,Definitely endangered,3500000,46.3165,22.3681
Turkey,Romani,Definitely endangered,3500000,46.3165,22.3681
Ukraine,Romani,Definitely endangered,3500000,46.3165,22.3681
Serbia,Romani,Definitely endangered,3500000,46.3165,22.3681
Montenegro,Romani,Definitely endangered,3500000,46.3165,22.3681
Israel,Yiddish (Israel),Definitely endangered,3000000,32.0833,34.8333
India,Gondi,Vulnerable,2713790,19.5804,80.4418
Germany,Limburgian-Ripuarian,Vulnerable,2600000,50.7781,6.0864
Belgium,Limburgian-Ripuarian,Vulnerable,2600000,50.7781,6.0864
Netherlands,Limburgian-Ripuarian,Vulnerable,2600000,50.7781,6.0864
Bolivia,Quechua of Southern Bolivia,Vulnerable,2300000,-18.0675,-65.7641
India,Kumaoni,Vulnerable,2003783,29.4778,79.8486
Nepal,Kumaoni,Vulnerable,2003783,29.4778,79.8486
Bolivia,Aymara,Vulnerable,2000000,-16.5835,-68.302
Chile,Aymara,Vulnerable,2000000,-16.5835,-68.302
Peru,Aymara,Vulnerable,2000000,-16.5835,-68.302
Italy,Emilian-Romagnol,Definitely endangered,2000000,44.127,12.0739
San Marino,Emilian-Romagnol,Definitely endangered,2000000,44.127,12.0739
Italy,Piedmontese,Definitely endangered,2000000,45.2013,7.8662
Croatia,Venetan,Vulnerable,2000000,45.4601,12.1948
Italy,Venetan,Vulnerable,2000000,45.4601,12.1948
Slovenia,Venetan,Vulnerable,2000000,45.4601,12.1948
Turkey,Zazaki,Vulnerable,2000000,38.8824,40.4846
India,Kurux (India),Vulnerable,1751489,22.1467,85.2758
Niger,Tamajeq,Vulnerable,1750000,17.2352,8.0859
India,Tulu,Vulnerable,1722768,12.0178,75.7067
India,Kangdi,Definitely endangered,1700000,32.4356,76.1242
United Kingdom of Great Britain and Northern Ireland,Scots,Vulnerable,1500000,56.2189,-3.7683
Albania,Torlak,Vulnerable,1500000,42.9644,22.1374
Bulgaria,Torlak,Vulnerable,1500000,42.9644,22.1374
Macedonia,Torlak,Vulnerable,1500000,42.9644,22.1374
Romania,Torlak,Vulnerable,1500000,42.9644,22.1374
Serbia,Torlak,Vulnerable,1500000,42.9644,22.1374
Belgium,West Flemish,Vulnerable,1500000,51.0275,3.0541
France,West Flemish,Vulnerable,1500000,51.0275,3.0541
Netherlands,West Flemish,Vulnerable,1500000,51.0275,3.0541
Russia,Bashkir,Vulnerable,1379727,54.7309,55.9863
