Sector,Year,Sex,EarningsGel,Total
Total,2014,Female,617.90,818
"Agriculture, forestry and fishing",2014,Female,419.00,501.1
Mining and quarrying,2014,Female,812.20,902.8
Manufacturing,2014,Female,509.90,720.6
"Electricity, gas, steam and air conditioning supply",2014,Female,1197.70,1147.6
"Water supply, sewerage, waste management and remediation activities",2014,Female,521.20,653.6
Construction,2014,Female,733.00,943.7
Wholesale and retail trade; repair of motor vehicles and motorcycles,2014,Female,517.30,702.6
Transportation and storage,2014,Female,720.40,1048.4
Accommodation and food service activities,2014,Female,378.30,477.5
Information and communication,2014,Female,1016.80,1171.4
Financial and insurance activities,2014,Female,1167.90,1590.3
Real estate activities,2014,Female,558.10,899.2
"Professional, scientific and technical activities",2014,Female,932.60,1144.6
Administrative and support service activities,2014,Female,595.20,698.3
Public administration and defence; compulsory social security,2014,Female,1125.20,1161.7
Education,2014,Female,429.70,455.3
Human health and social work activities,2014,Female,651.90,742
"Arts, entertainment and recreation",2014,Female,571.00,681.8
Other service activities,2014,Female,479.20,632.2
Total,2014,Male,980.00,818
"Agriculture, forestry and fishing",2014,Male,524.70,501.1
Mining and quarrying,2014,Male,913.90,902.8
Manufacturing,2014,Male,823.80,720.6
"Electricity, gas, steam and air conditioning supply",2014,Male,1136.50,1147.6
"Water supply, sewerage, waste management and remediation activities",2014,Male,692.80,653.6
Construction,2014,Male,962.40,943.7
Wholesale and retail trade; repair of motor vehicles and motorcycles,2014,Male,864.00,702.6
Transportation and storage,2014,Male,1132.60,1048.4
Accommodation and food service activities,2014,Male,652.60,477.5
Information and communication,2014,Male,1277.60,1171.4
Financial and insurance activities,2014,Male,2218.00,1590.3
Real estate activities,2014,Male,1080.10,899.2
"Professional, scientific and technical activities",2014,Male,1316.60,1144.6
Administrative and support service activities,2014,Male,757.50,698.3
Public administration and defence; compulsory social security,2014,Male,1174.30,1161.7
Education,2014,Male,539.50,455.3
Human health and social work activities,2014,Male,975.90,742
"Arts, entertainment and recreation",2014,Male,784.80,681.8
Other service activities,2014,Male,856.60,632.2
Total,2015,Female,692.50,900.4
"Agriculture, forestry and fishing",2015,Female,454.20,587.7
Mining and quarrying,2015,Female,956.80,1047.4
Manufacturing,2015,Female,563.10,776.5
"Electricity, gas, steam and air conditioning supply",2015,Female,1237.40,1257.5
"Water supply, sewerage, waste management and remediation activities",2015,Female,680.30,679.7
Construction,2015,Female,926.30,1184.6
Wholesale and retail trade; repair of motor vehicles and motorcycles,2015,Female,592.70,783.8
Transportation and storage,2015,Female,894.20,1152.8
Accommodation and food service activities,2015,Female,470.40,563
Information and communication,2015,Female,1132.70,1332.3
Financial and insurance activities,2015,Female,1243.00,1691.4
Real estate activities,2015,Female,776.20,962.1
"Professional, scientific and technical activities",2015,Female,1207.10,1276.8
Administrative and support service activities,2015,Female,547.70,675.2
Public administration and defence; compulsory social security,2015,Female,1252.90,1259.3
Education,2015,Female,452.30,482.2
Human health and social work activities,2015,Female,731.30,845.7
"Arts, entertainment and recreation",2015,Female,689.60,750.8
Other service activities,2015,Female,772.10,881.4
Total,2015,Male,1074.30,900.4
"Agriculture, forestry and fishing",2015,Male,626.00,587.7
Mining and quarrying,2015,Male,1058.90,1047.4
Manufacturing,2015,Male,881.10,776.5
"Electricity, gas, steam and air conditioning supply",2015,Male,1262.00,1257.5
"Water supply, sewerage, waste management and remediation activities",2015,Male,679.40,679.7
Construction,2015,Male,1207.80,1184.6
Wholesale and retail trade; repair of motor vehicles and motorcycles,2015,Male,953.60,783.8
Transportation and storage,2015,Male,1222.60,1152.8
Accommodation and food service activities,2015,Male,705.90,563
Information and communication,2015,Male,1466.40,1332.3
Financial and insurance activities,2015,Male,2379.00,1691.4
