year,type,value
2001,coal,158662.99516666666
2002,coal,161094.19616666666
2003,coal,164478.06241666662
2004,coal,164858.3791
2005,coal,167739.42047500002
2006,coal,165875.92788333332
2007,coal,168037.96529166668
2008,coal,165483.437225
2009,coal,146325.3544166667
2010,coal,153940.85655
2011,coal,144452.50045
2012,coal,126170.2453975
2013,coal,131759.55965000004
2014,coal,131809.19581666667
2015,coal,112699.84974333334
2016,coal,103262.3878675
2017,coal,100486.27299833331
2018,coal,95790.6115375
2019,coal,80413.06762333334
2020,coal,64483.778289166665
2001,natural_gas,53260.75991666666
2002,natural_gas,57583.81225000001
2003,natural_gas,54158.96166666666
2004,natural_gas,59175.00137916667
2005,natural_gas,63413.35453500001
2006,natural_gas,68036.73080499998
2007,natural_gas,74715.81592083334
2008,natural_gas,73581.71659333335
2009,natural_gas,76748.22337916667
2010,natural_gas,82308.10280916667
2011,natural_gas,84474.07743833333
2012,natural_gas,102157.84794916667
2013,natural_gas,93736.2966541667
2014,natural_gas,93884.07986499999
2015,natural_gas,111123.50916916663
2016,natural_gas,114858.91116333334
2017,natural_gas,108036.87425166667
2018,natural_gas,122427.72350916667
2019,natural_gas,132151.18115
2020,natural_gas,134728.99832499996
2001,nuclear,64068.859000000004
2002,nuclear,65005.34058333334
2003,nuclear,63644.39125000001
2004,nuclear,65710.69891666668
2005,nuclear,65165.53041666667
2006,nuclear,65601.553
2007,nuclear,67202.06275000001
2008,nuclear,67184.03625
2009,nuclear,66571.21541666669
2010,nuclear,67247.35838
2011,nuclear,65850.36391666667
2012,nuclear,64110.937416666675
2013,nuclear,65751.37275
2014,nuclear,66430.49849999999
2015,nuclear,66431.48975
2016,nuclear,67141.16233333333
2017,nuclear,67079.13625
2018,nuclear,67257.03975000001
2019,nuclear,67450.77183333335
2020,nuclear,65826.55258333332
2001,conventional_hydroelectric,18080.087083333336
2002,conventional_hydroelectric,22027.402583333333
2003,conventional_hydroelectric,22983.860666666664
2004,conventional_hydroelectric,22368.109030833333
2005,conventional_hydroelectric,22526.771245833337
2006,conventional_hydroelectric,24103.8679725
2007,conventional_hydroelectric,20625.831192499998
2008,conventional_hydroelectric,21235.948759166666
2009,conventional_hydroelectric,22787.091181666667
2010,conventional_hydroelectric,21683.589115833336
2011,conventional_hydroelectric,26612.908620833332
2012,conventional_hydroelectric,23020.018275
2013,conventional_hydroelectric,22380.448560833334
2014,conventional_hydroelectric,21613.885155833337
2015,conventional_hydroelectric,20756.673735833334
2016,conventional_hydroelectric,22317.67942416667
2017,conventional_hydroelectric,25027.744138333335
2018,conventional_hydroelectric,24376.99906916667
2019,conventional_hydroelectric,23989.4775425
2020,conventional_hydroelectric,24259.23633
