Year,Ascensionist,Route,Crag,GradeYDS,GradeF,Sex,Confirmed?,Source?,Remark,Source 2
1979,Lynn Hill,Ophir Broke,Ophir,5.12d,7c,female,Yes,https://en.wikipedia.org/wiki/Lynn_Hill,,
1985,Catherine Destivelle,Fleur de Rocaille,Mouriès,5.12d/5.13a,7c+/8a,female,Yes,https://en.wikipedia.org/wiki/Catherine_Destivelle,,
1986,Luisa Iovane,Comeback,Val San Nicolo,5.13b,8a,female,Yes,https://www.climbing.com/people/cant-keep-her-down-a-consolidated-history-of-womens-climbing-achievements/,,
1988,Catherine Destivelle,Chouca,Buoux,5.13c,8a+,female,Yes,https://en.wikipedia.org/wiki/Catherine_Destivelle,,
1988,Isabelle Patissier,Sortileges,Cimaï,5.13d,8b,female,Yes,https://www.climbing.com/people/cant-keep-her-down-a-consolidated-history-of-womens-climbing-achievements/,,
1990,Lynn Hill,Masse Critique,Cimaï,5.14a,8b+,female,Yes,https://www.climbing.com/people/cant-keep-her-down-a-consolidated-history-of-womens-climbing-achievements/,,
1998,Josune Bereziartu,Honky Tonky,Onate,5.14b,8c,female,Yes,https://www.climbing.com/people/cant-keep-her-down-a-consolidated-history-of-womens-climbing-achievements/,,
2000,Josune Bereziartu,Honky Tonk Mix,Onate,5.14c,8c+,female,Yes,https://www.planetmountain.com/en/news/climbing/noia-8c-for-josune-bereziartu.html,,
2002,Josune Bereziartu,Bain de Sang,Saint Loup,5.14d,9a,female,Yes,https://www.planetmountain.com/en/news/climbing/josune-bereziartu-climbs-first-female-9a.html,,
2005,Josune Bereziartu,Bimbaluna,Saint Loup,5.14d/5.15a,9a/9a+,female,Yes,https://www.planetmountain.com/en/news/climbing/josune-bereziartu-and-bimbaluna-9a9a-.html,,
2017,Margo Hayes,La Rambla Extension,Siurana,5.15a,9a+,female,Yes,https://www.planetmountain.com/en/news/interviews/adam-ondra-climbs-worlds-first-9c-at-flatanger-in-norway.html,,
2017,Angela Eiter,La planta de shiva,Villanueva del Rosario,5.15b,9b,female,Yes,https://www.planetmountain.com/en/news/interviews/adam-ondra-climbs-worlds-first-9c-at-flatanger-in-norway.html,,
1961,John Gill,Thimble,Needles,5.12a,7a+,male,Yes,http://stara.emontana.cz/climbing-milestones-from-6a-to-9c/,,
1967,Greg Lowe,Macabre Roof,Ogden,5.12c,7b+,male,Yes,http://stara.emontana.cz/climbing-milestones-from-6a-to-9c/,,
1970,John Gosling,English Hanging Gardens,Big Rock,5.12b,7b,male,Yes,http://stara.emontana.cz/climbing-milestones-from-6a-to-9c/,,
1975,Steve Wunsch,Psycho Roof,Eldorado,5.12d,7c,male,Yes,http://stara.emontana.cz/climbing-milestones-from-6a-to-9c/,,
1977,Ray Jardine,The Phoenix,Yosemite,5.13a,7c+,male,Yes,http://stara.emontana.cz/climbing-milestones-from-6a-to-9c/,,
1979,Tony Yaniro,Grand Illusion,Sugarloaf,5.13b,8a,male,Yes,http://stara.emontana.cz/climbing-milestones-from-6a-to-9c/,,
1983,Jerry Moffatt,The Face,Frankenjura,5.13c,8a+,male,Yes,http://stara.emontana.cz/climbing-milestones-from-6a-to-9c/,,
1984,Wolfgang Güllich,Kanal im Rücken,Frankenjura,5.13d,8b,male,Yes,http://stara.emontana.cz/climbing-milestones-from-6a-to-9c/,,
1985,Wolfgang Güllich,Punks in the Gym,Mount Arapiles,5.14a,8b+,male,Yes,http://stara.emontana.cz/climbing-milestones-from-6a-to-9c/,,
1986,Antoine Le Menestrel,La Ravage,Chuenisberg,5.14a/5.14b,8b+/8c,male,Yes,http://stara.emontana.cz/climbing-milestones-from-6a-to-9c/,,
1987,Wolfgang Güllich,Wallstreet,Frankenjura,5.14b,8c,male,Yes,http://stara.emontana.cz/climbing-milestones-from-6a-to-9c/,,
1990,Ben Moon,Hubble,Raven Tor,5.14c,8c+,male,Yes,http://stara.emontana.cz/climbing-milestones-from-6a-to-9c/,,
1991,Wolfgang Güllich,Action Directe,Frankenjura,5.14d,9a,male,Yes,http://stara.emontana.cz/climbing-milestones-from-6a-to-9c/,,
1995,Fred Rouhling,Akira,Le Périgord,5.15b,9b,male,No,https://www.climbing.com/people/fred-rouhling/,,
1996,Alex Huber,Open Air,Schleierwasserfall,5.15a,9a+,male,Yes,https://www.planetmountain.com/en/news/climbing/adam-ondra-open-air-and-hotel-supramonte.html,,
2003,Bernabè Fernandez,Chilam Balam,Villanueva del Rosario,5.15a/5.15b,9a+/9b,male,Yes,https://www.hardclimbs.info/climbs/chilam-balam,,
2008,Chris Sharma,Golpe De Estado at Siurana,Siurana,5.15b,9b,male,Yes,https://www.planetmountain.com/en/news/climbing/chris-sharma-frees-golpe-de-estado-at-siurana.html,First repeat of 9b,https://www.planetmountain.com/en/news/climbing/adam-ondra-golpe-de-estado-at-siurana.html
2012,Adam Ondra,Change,Flatanger,5.15c,9b+,male,No,https://www.planetmountain.com/en/news/interviews/adam-ondra-makes-his-change.html,,
2017,Adam Ondra,Silence,Flatanger,5.15d,9c,male,No,https://www.planetmountain.com/en/news/interviews/adam-ondra-climbs-worlds-first-9c-at-flatanger-in-norway.html,,
