Disease,County,Year,Sex,Cases,Population,Rate,Lower 95% CI,Upper 95% CI,Annotation Code
Gonorrhea,Alameda,2001,Female,1106,746596,148.1,139.5,157.1,
Gonorrhea,Alameda,2001,Male,1009,718968,140.3,131.8,149.3,
Gonorrhea,Alameda,2001,Total,2137,1465564,145.8,139.7,152.1,
Gonorrhea,Alameda,2002,Female,1044,747987,139.6,131.2,148.3,
Gonorrhea,Alameda,2002,Male,985,720481,136.7,128.3,145.5,
Gonorrhea,Alameda,2002,Total,2037,1468468,138.7,132.8,144.9,
Gonorrhea,Alameda,2003,Female,842,747441,112.7,105.2,120.5,
Gonorrhea,Alameda,2003,Male,791,719746,109.9,102.4,117.8,
Gonorrhea,Alameda,2003,Total,1635,1467187,111.4,106.1,117,
Gonorrhea,Alameda,2004,Female,877,746723,117.4,109.8,125.5,
Gonorrhea,Alameda,2004,Male,932,718817,129.7,121.5,138.3,
Gonorrhea,Alameda,2004,Total,1812,1465540,123.6,118,129.5,
Gonorrhea,Alameda,2005,Female,1080,743878,145.2,136.7,154.1,
Gonorrhea,Alameda,2005,Male,998,716004,139.4,130.9,148.3,
Gonorrhea,Alameda,2005,Total,2082,1459882,142.6,136.6,148.9,
Gonorrhea,Alameda,2006,Female,1162,746458,155.7,146.9,164.9,
Gonorrhea,Alameda,2006,Male,1144,718381,159.2,150.2,168.7,
Gonorrhea,Alameda,2006,Total,2313,1464839,157.9,151.5,164.5,
Gonorrhea,Alameda,2007,Female,1210,752302,160.8,151.9,170.2,
Gonorrhea,Alameda,2007,Male,1157,724099,159.8,150.7,169.3,
Gonorrhea,Alameda,2007,Total,2369,1476401,160.5,154.1,167,
Gonorrhea,Alameda,2008,Female,972,760122,127.9,120,136.2,
Gonorrhea,Alameda,2008,Male,921,731659,125.9,117.9,134.3,
Gonorrhea,Alameda,2008,Total,1893,1491781,126.9,121.2,132.7,
Gonorrhea,Alameda,2009,Female,738,765745,96.4,89.6,103.6,
Gonorrhea,Alameda,2009,Male,932,738082,126.3,118.3,134.6,
Gonorrhea,Alameda,2009,Total,1670,1503827,111.1,105.8,116.5,
Gonorrhea,Alameda,2010,Female,934,772307,120.9,113.3,128.9,
Gonorrhea,Alameda,2010,Male,989,743019,133.1,124.9,141.7,
Gonorrhea,Alameda,2010,Total,1924,1515326,127,121.4,132.8,
Gonorrhea,Alameda,2011,Female,658,780541,84.3,78,91,
Gonorrhea,Alameda,2011,Male,846,751841,112.5,105.1,120.4,
Gonorrhea,Alameda,2011,Total,1505,1532382,98.2,93.3,103.3,
Gonorrhea,Alameda,2012,Female,643,791623,81.2,75.1,87.8,
Gonorrhea,Alameda,2012,Male,904,763258,118.4,110.8,126.4,
Gonorrhea,Alameda,2012,Total,1548,1554881,99.6,94.7,104.6,
Gonorrhea,Alameda,2013,Female,729,803345,90.7,84.3,97.6,
Gonorrhea,Alameda,2013,Male,1128,774856,145.6,137.2,154.3,
Gonorrhea,Alameda,2013,Total,1859,1578201,117.8,112.5,123.3,
Gonorrhea,Alameda,2014,Female,842,814986,103.3,96.5,110.5,
Gonorrhea,Alameda,2014,Male,1432,786071,182.2,172.9,191.8,
Gonorrhea,Alameda,2014,Total,2277,1601057,142.2,136.4,148.2,
Gonorrhea,Alameda,2015,Female,939,825325,113.8,106.6,121.3,
Gonorrhea,Alameda,2015,Male,1856,796390,233.1,222.6,243.9,
Gonorrhea,Alameda,2015,Total,2799,1621715,172.6,166.3,179.1,
Gonorrhea,Alameda,2016,Female,832,833118,99.9,93.2,106.9,
Gonorrhea,Alameda,2016,Male,2211,804648,274.8,263.5,286.5,
Gonorrhea,Alameda,2016,Total,3047,1637766,186,179.5,192.8,
Gonorrhea,Alameda,2017,Female,1026,839632,122.2,114.8,129.9,
Gonorrhea,Alameda,2017,Male,2547,811687,313.8,301.7,326.2,
Gonorrhea,Alameda,2017,Total,3583,1651319,217,209.9,224.2,
Gonorrhea,Alameda,2018,Female,1104,845084,130.6,123,138.6,
Gonorrhea,Alameda,2018,Male,2641,817691,323,310.8,335.5,
Gonorrhea,Alameda,2018,Total,3777,1662775,227.2,220,234.5,
Gonorrhea,Alpine,2001,Female,0,589,0,0,624.3,#
Gonorrhea,Alpine,2001,Male,0,648,0,0,567.7,#
Gonorrhea,Alpine,2001,Total,0,1237,0,0,297.8,#
Gonorrhea,Alpine,2002,Female,0,594,0,0,619.1,#
Gonorrhea,Alpine,2002,Male,0,654,0,0,562.5,#
Gonorrhea,Alpine,2002,Total,0,1248,0,0,295.1,#
Gonorrhea,Alpine,2003,Female,0,596,0,0,617,#
Gonorrhea,Alpine,2003,Male,0,653,0,0,563.3,#
Gonorrhea,Alpine,2003,Total,0,1249,0,0,294.9,#
Gonorrhea,Alpine,2004,Female,0,607,0,0,605.9,#
Gonorrhea,Alpine,2004,Male,0,659,0,0,558.2,#
Gonorrhea,Alpine,2004,Total,0,1266,0,0,291,#
Gonorrhea,Alpine,2005,Female,0,580,0,0,634,#
Gonorrhea,Alpine,2005,Male,0,628,0,0,585.7,#
Gonorrhea,Alpine,2005,Total,0,1208,0,0,304.9,#
Gonorrhea,Alpine,2006,Female,0,605,0,0,607.9,#
Gonorrhea,Alpine,2006,Male,0,650,0,0,565.9,#
Gonorrhea,Alpine,2006,Total,0,1255,0,0,293.5,#
Gonorrhea,Alpine,2007,Female,0,599,0,0,613.9,#
Gonorrhea,Alpine,2007,Male,0,649,0,0,566.8,#
Gonorrhea,Alpine,2007,Total,0,1248,0,0,295.1,#
Gonorrhea,Alpine,2008,Female,0,581,0,0,632.9,#
Gonorrhea,Alpine,2008,Male,0,627,0,0,586.6,#
Gonorrhea,Alpine,2008,Total,0,1208,0,0,304.9,#
Gonorrhea,Alpine,2009,Female,0,570,0,0,645.1,#
