fullName,name,year,number
Total 15 + population,totalPopulationOfWorkingAge,2002,3169.9
"Labour force (Active population), total",labourForceTotal,2002,2025.8
Employed,employed,2002,1752.1
Hired,hired,2002,660.1
Self-employed,selfEmployed,2002,1088.5
Not-identified worker,notIdentifiedWorker,2002,3.6
Unemployed,unemployed,2002,273.7
Population outside the labour force,populationForce,2002,1144.1
"Unemployment rate, percentage",unemploymentRatePercentage,2002,13.5
"Labour force participation rate (Economic activity rate), percentage",labourForcePercentage,2002,63.9
"Employment rate, percentage",employmentRatePercentage,2002,55.3
Total 15 + population,totalPopulationOfWorkingAge,2019,3037.1
"Labour force (Active population), total",labourForceTotal,2019,1572.8
Employed,employed,2019,1295.9
Hired,hired,2019,897.5
Self-employed,selfEmployed,2019,397.9
Not-identified worker,notIdentifiedWorker,2019,0.5
Unemployed,unemployed,2019,276.9
Population outside the labour force,populationForce,2019,1464.3
"Unemployment rate, percentage",unemploymentRatePercentage,2019,17.6
"Labour force participation rate (Economic activity rate), percentage",labourForcePercentage,2019,51.8
"Employment rate, percentage",employmentRatePercentage,2019,42.7
Total 15 + population,totalPopulationOfWorkingAge,2018,3034.3
"Labour force (Active population), total",labourForceTotal,2018,1605.2
Employed,employed,2018,1296.2
Hired,hired,2018,903.5
Self-employed,selfEmployed,2018,392.2
Not-identified worker,notIdentifiedWorker,2018,0.6
Unemployed,unemployed,2018,309
Population outside the labour force,populationForce,2018,1429
"Unemployment rate, percentage",unemploymentRatePercentage,2018,19.2
"Labour force participation rate (Economic activity rate), percentage",labourForcePercentage,2018,52.9
"Employment rate, percentage",employmentRatePercentage,2018,42.7
Total 15 + population,totalPopulationOfWorkingAge,2017,3012.3
"Labour force (Active population), total",labourForceTotal,2017,1641.4
Employed,employed,2017,1286.9
Hired,hired,2017,869.3
Self-employed,selfEmployed,2017,416.8
Not-identified worker,notIdentifiedWorker,2017,0.8
Unemployed,unemployed,2017,354.5
Population outside the labour force,populationForce,2017,1370.9
"Unemployment rate, percentage",unemploymentRatePercentage,2017,21.6
"Labour force participation rate (Economic activity rate), percentage",labourForcePercentage,2017,54.5
"Employment rate, percentage",employmentRatePercentage,2017,42.7
Total 15 + population,totalPopulationOfWorkingAge,2016,3009.4
"Labour force (Active population), total",labourForceTotal,2016,1653.8
Employed,employed,2016,1294.5
Hired,hired,2016,853.9
Self-employed,selfEmployed,2016,434.4
Not-identified worker,notIdentifiedWorker,2016,6.3
Unemployed,unemployed,2016,359.2
Population outside the labour force,populationForce,2016,1355.7
"Unemployment rate, percentage",unemploymentRatePercentage,2016,21.7
"Labour force participation rate (Economic activity rate), percentage",labourForcePercentage,2016,55
"Employment rate, percentage",employmentRatePercentage,2016,43
Total 15 + population,totalPopulationOfWorkingAge,2015,3019.1
"Labour force (Active population), total",labourForceTotal,2015,1675.6
Employed,employed,2015,1308.5
Hired,hired,2015,855.3
Self-employed,selfEmployed,2015,445.6
Not-identified worker,notIdentifiedWorker,2015,7.5
Unemployed,unemployed,2015,367.2
Population outside the labour force,populationForce,2015,1343.5
"Unemployment rate, percentage",unemploymentRatePercentage,2015,21.9
"Labour force participation rate (Economic activity rate), percentage",labourForcePercentage,2015,55.5
"Employment rate, percentage",employmentRatePercentage,2015,43.3
Total 15 + population,totalPopulationOfWorkingAge,2014,3031.6
"Labour force (Active population), total",labourForceTotal,2014,1629
Employed,employed,2014,1255
Hired,hired,2014,795.5
Self-employed,selfEmployed,2014,453
Not-identified worker,notIdentifiedWorker,2014,6.5
Unemployed,unemployed,2014,374
Population outside the labour force,populationForce,2014,1402.6
"Unemployment rate, percentage",unemploymentRatePercentage,2014,23
"Labour force participation rate (Economic activity rate), percentage",labourForcePercentage,2014,53.7
"Employment rate, percentage",employmentRatePercentage,2014,41.4
Total 15 + population,totalPopulationOfWorkingAge,2013,3036.9
"Labour force (Active population), total",labourForceTotal,2013,1627.5
Employed,employed,2013,1197.8
Hired,hired,2013,739.1
Self-employed,selfEmployed,2013,449.5
Not-identified worker,notIdentifiedWorker,2013,9.2
Unemployed,unemployed,2013,429.7
Population outside the labour force,populationForce,2013,1409.4
"Unemployment rate, percentage",unemploymentRatePercentage,2013,26.4
"Labour force participation rate (Economic activity rate), percentage",labourForcePercentage,2013,53.6
"Employment rate, percentage",employmentRatePercentage,2013,39.4
Total 15 + population,totalPopulationOfWorkingAge,2012,3057.3
"Labour force (Active population), total",labourForceTotal,2012,1654.7
Employed,employed,2012,1212.2
Hired,hired,2012,759.4
Self-employed,selfEmployed,2012,445.2
Not-identified worker,notIdentifiedWorker,2012,7.6
Unemployed,unemployed,2012,442.5
Population outside the labour force,populationForce,2012,1402.6
"Unemployment rate, percentage",unemploymentRatePercentage,2012,26.7
"Labour force participation rate (Economic activity rate), percentage",labourForcePercentage,2012,54.1
"Employment rate, percentage",employmentRatePercentage,2012,39.6
Total 15 + population,totalPopulationOfWorkingAge,2020,3018.5
"Labour force (Active population), total",labourForceTotal,2020,1523.7
Employed,employed,2020,1241.8
Hired,hired,2020,845.3
Self-employed,selfEmployed,2020,395.9
Not-identified worker,notIdentifiedWorker,2020,0.7
Unemployed,unemployed,2020,281.9
Population outside the labour force,populationForce,2020,1494.8
"Unemployment rate, percentage",unemploymentRatePercentage,2020,18.5
"Labour force participation rate (Economic activity rate), percentage",labourForcePercentage,2020,50.5
"Employment rate, percentage",employmentRatePercentage,2020,41.1
Total 15 + population,totalPopulationOfWorkingAge,2011,3088.1
"Labour force (Active population), total",labourForceTotal,2011,1624.6
Employed,employed,2011,1183
Hired,hired,2011,724
Self-employed,selfEmployed,2011,452
Not-identified worker,notIdentifiedWorker,2011,7
Unemployed,unemployed,2011,441.6
