date,state,death,deathConfirmed,deathIncrease,deathProbable,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease,positiveTestsViral,recovered,totalTestEncountersViral,totalTestEncountersViralIncrease,totalTestResults,totalTestResultsIncrease,totalTestsAntibody,totalTestsAntigen,totalTestsPeopleAntibody,totalTestsPeopleAntigen,totalTestsPeopleViral,totalTestsPeopleViralIncrease,totalTestsViral,totalTestsViralIncrease
3/7/2021,MA,16417,16085,43,332,19713,19713,665,0,668145,508745,,0,16825551,96578,,,156185,580372,4963875,9309,16825551,96578
3/6/2021,MA,16374,16044,52,330,19713,19713,687,0,666605,508745,,0,16728973,100359,,,156185,578153,4954566,9321,16728973,100359
3/5/2021,MA,16322,15992,26,330,19713,19713,716,0,664893,508745,,0,16628614,106263,,,156185,574434,4945245,10584,16628614,106263
3/4/2021,MA,16296,15967,44,329,19713,19713,741,0,662972,508745,,0,16522351,102362,,,156185,571445,4934661,9964,16522351,102362
3/3/2021,MA,16252,15925,70,327,19713,19713,755,269,661370,494740,,0,16419989,102052,,,154697,568678,4924697,10064,16419989,102052
3/2/2021,MA,16182,15859,38,323,19444,19444,775,0,659584,494740,,0,16317937,56007,,,154697,564788,4914633,7726,16317937,56007
3/1/2021,MA,16144,15822,26,322,19444,19444,788,0,659307,494740,,0,16261930,53839,,,154697,561797,4906907,8066,16261930,53839
2/28/2021,MA,16118,15796,51,322,19444,19444,760,0,657840,494740,,0,16208091,102571,,,154697,559897,4898841,9887,16208091,102571
2/27/2021,MA,16067,15744,43,323,19444,19444,785,0,656217,494740,,0,16105520,108261,,,154697,557826,4888954,9955,16105520,108261
2/26/2021,MA,16024,15703,46,321,19444,19444,807,0,654425,494740,,0,15997259,102584,,,154697,554801,4878999,11203,15997259,102584
2/25/2021,MA,15978,15657,33,321,19444,19444,853,0,652400,494740,,0,15894675,118144,,,154697,551474,4867796,12941,15894675,118144
2/24/2021,MA,15945,15624,62,321,19444,19444,875,268,650220,477796,,0,15776531,114127,,,153152,548242,4854855,12989,15776531,114127
2/23/2021,MA,15883,15564,30,319,19176,19176,879,0,648142,477796,,0,15662404,62531,,,153152,543942,4841866,9042,15662404,62531
2/22/2021,MA,15853,15534,27,319,19176,19176,888,0,646850,477796,,0,15599873,49929,,,153152,541220,4832824,8236,15599873,49929
2/21/2021,MA,15826,15508,47,318,19176,19176,927,0,645482,477796,,0,15549944,87420,,,153152,539089,4824588,10032,15549944,87420
2/20/2021,MA,15779,15462,53,317,19176,19176,970,0,643953,477796,,0,15462524,115002,,,153152,535624,4814556,10972,15462524,115002
2/19/2021,MA,15726,15409,40,317,19176,19176,990,0,641849,477796,,0,15347522,106656,,,153152,533272,4803584,10479,15347522,106656
2/18/2021,MA,15686,15373,63,313,19176,19176,1029,0,639875,477796,,0,15240866,100002,,,153152,530569,4793105,10449,15240866,100002
