state,gender,year,name,occurances
AK,F,1910,Mary,14
AK,F,1911,Mary,12
AK,F,1912,Mary,9
AK,F,1913,Mary,21
AK,F,1914,Mary,22
AK,F,1915,Mary,23
AK,F,1916,Mary,18
AK,F,1917,Mary,21
AK,F,1918,Mary,27
AK,F,1919,Mary,22
AK,F,1920,Mary,38
AK,F,1921,Mary,36
AK,F,1922,Mary,29
AK,F,1923,Mary,26
AK,F,1924,Mary,41
AK,F,1925,Mary,24
AK,F,1926,Mary,39
AK,F,1927,Mary,30
AK,F,1928,Mary,27
AK,F,1929,Mary,25
AK,F,1930,Mary,35
AK,F,1931,Mary,41
AK,F,1932,Mary,26
AK,F,1933,Mary,25
AK,F,1934,Mary,31
AK,F,1935,Mary,29
AK,F,1936,Mary,34
AK,F,1937,Mary,41
AK,F,1938,Mary,36
AK,F,1939,Mary,28
AK,F,1940,Mary,43
AK,F,1941,Mary,41
AK,F,1942,Mary,44
AK,F,1943,Mary,46
AK,F,1944,Mary,42
AK,F,1945,Mary,47
AK,F,1946,Mary,47
AK,F,1947,Mary,63
AK,F,1948,Mary,71
AK,F,1949,Mary,79
AK,F,1950,Mary,71
AK,F,1951,Linda,80
AK,F,1952,Linda,89
AK,F,1953,Linda,108
AK,F,1954,Debra,105
AK,F,1955,Debra,94
AK,F,1956,Debra,103
AK,F,1957,Mary,99
AK,F,1958,Mary,84
AK,F,1959,Mary,61
AK,F,1960,Mary,79
AK,F,1961,Mary,79
AK,F,1962,Mary,86
AK,F,1963,Mary,78
AK,F,1964,Mary,84
AK,F,1965,Lisa,70
AK,F,1966,Mary,67
AK,F,1967,Lisa,68
AK,F,1968,Michelle,82
AK,F,1969,Michelle,89
AK,F,1970,Jennifer,81
AK,F,1971,Jennifer,110
AK,F,1972,Jennifer,129
AK,F,1973,Jennifer,128
AK,F,1974,Jennifer,135
AK,F,1975,Jennifer,114
AK,F,1976,Jennifer,124
AK,F,1977,Jennifer,140
AK,F,1978,Jennifer,129
AK,F,1979,Jennifer,126
AK,F,1980,Jessica,116
AK,F,1981,Jennifer,106
AK,F,1982,Jennifer,145
AK,F,1983,Jennifer,155
AK,F,1984,Jessica,157
AK,F,1985,Jessica,164
AK,F,1986,Jessica,158
AK,F,1987,Jessica,156
AK,F,1988,Jessica,134
AK,F,1989,Jessica,112
AK,F,1990,Jessica,113
AK,F,1991,Jessica,106
AK,F,1992,Jessica,102
AK,F,1993,Jessica,85
AK,F,1994,Jessica,76
AK,F,1995,Samantha,61
AK,F,1996,Ashley,57
AK,F,1997,Hannah,67
AK,F,1998,Emily,60
AK,F,1999,Emily,62
AK,F,2000,Hannah,58
AK,F,2001,Madison,54
AK,F,2002,Madison,57
AK,F,2003,Hannah,56
AK,F,2004,Emma,62
AK,F,2005,Madison,53
AK,F,2006,Emma,49
AK,F,2007,Isabella,52
AK,F,2008,Emma,51
AK,F,2009,Isabella,57
AK,F,2010,Sophia,62
AK,F,2011,Olivia,60
AK,F,2012,Emma,57
AK,F,2013,Emma,57
AK,F,2014,Emma,50
AK,F,2015,Olivia,56
AK,F,2016,Emma,47
AK,F,2017,Emma,57
AK,F,2018,Aurora,46
AK,F,2019,Emma,41
AL,F,1910,Mary,875
AL,F,1911,Mary,804
AL,F,1912,Mary,1041
AL,F,1913,Mary,1125
AL,F,1914,Mary,1429
AL,F,1915,Mary,1552
AL,F,1916,Mary,1722
AL,F,1917,Mary,1825
AL,F,1918,Mary,1914
AL,F,1919,Mary,2222
AL,F,1920,Mary,2360
AL,F,1921,Mary,2316
AL,F,1922,Mary,2383
AL,F,1923,Mary,2419
AL,F,1924,Mary,2597
AL,F,1925,Mary,2694
AL,F,1926,Mary,2533
AL,F,1927,Mary,2613
AL,F,1928,Mary,2501
AL,F,1929,Mary,2341
AL,F,1930,Mary,2398
AL,F,1931,Mary,2273
AL,F,1932,Mary,2338
AL,F,1933,Mary,2108
AL,F,1934,Mary,2287
AL,F,1935,Mary,2214
AL,F,1936,Mary,2016
AL,F,1937,Mary,2155
AL,F,1938,Mary,2191
AL,F,1939,Mary,2075
AL,F,1940,Mary,2077
AL,F,1941,Mary,2099
AL,F,1942,Mary,2354
AL,F,1943,Mary,2306
AL,F,1944,Mary,2080
AL,F,1945,Mary,2081
AL,F,1946,Mary,2106
AL,F,1947,Mary,2116
AL,F,1948,Mary,2074
AL,F,1949,Mary,1975
AL,F,1950,Mary,1840
AL,F,1951,Mary,1708
AL,F,1952,Mary,1717
AL,F,1953,Mary,1501
AL,F,1954,Mary,1451
AL,F,1955,Mary,1355
AL,F,1956,Mary,1246
AL,F,1957,Mary,1224
AL,F,1958,Mary,1043
AL,F,1959,Mary,1049
AL,F,1960,Mary,981
AL,F,1961,Mary,932
AL,F,1962,Mary,821
AL,F,1963,Lisa,854
AL,F,1964,Lisa,825
AL,F,1965,Lisa,930
AL,F,1966,Lisa,795
AL,F,1967,Lisa,705
AL,F,1968,Lisa,695
AL,F,1969,Kimberly,657
AL,F,1970,Kimberly,735
AL,F,1971,Jennifer,727
AL,F,1972,Jennifer,816
AL,F,1973,Jennifer,882
AL,F,1974,Jennifer,987
AL,F,1975,Jennifer,880
AL,F,1976,Jennifer,905
AL,F,1977,Jennifer,965
AL,F,1978,Jennifer,800
AL,F,1979,Jennifer,855
AL,F,1980,Jennifer,923
AL,F,1981,Jennifer,949
AL,F,1982,Jennifer,871
AL,F,1983,Jennifer,897
AL,F,1984,Ashley,816
