player,position,team,xgf,gf,xga,ga
Philippe Maillet,C,WSH,0.38,0,0.05,0
Justin Bailey,R,VAN,1.38,0,0.47,2
Kyle Capobianco,D,ARI,0.97,0,0.76,2
Joachim Blichfeld,R,SJS,0.26,0,0.31,0
Alexander Radulov,R,DAL,4.6,8,2.22,0
Rem Pitlick,C,NSH,0.82,1,0.25,0
Karson Kuhlman,C,BOS,1.17,0,1.03,2
Nathan MacKinnon,C,COL,14.94,17,9.67,6
Jacob MacDonald,D,COL,6.79,5,4.65,3
Mikko Rantanen,R,COL,16.63,19,11.43,10
Brendan Gallagher,R,MTL,15.05,17,9.13,7
Kiefer Sherwood,L,COL,1.07,2,0.77,2
David Pastrnak,R,BOS,9.68,18,6.16,7
Phillip Danault,C,MTL,15.52,16,9.05,7
Gabriel Landeskog,L,COL,14.5,14,9.55,11
Patrice Bergeron,C,BOS,10.76,19,8.72,11
Jordan Gross,D,ARI,2.65,2,1.38,3
Cale Makar,D,COL,11.2,15,6.78,9
Brad Marchand,L,BOS,11.78,20,8.75,10
Tomas Tatar,L,MTL,13.9,12,7.82,9
Valeri Nichushkin,R,COL,11.54,7,7.15,13
Alex Barre-Boulet,C,TBL,0.75,1,0.3,0
Jayce Hawryluk,C,VAN,0.87,0,1.38,1
Joel Hanley,D,DAL,4.7,4,3.33,5
Samuel Girard,D,COL,16.48,21,13.44,19
Tyler Toffoli,C,MTL,12.78,19,9.39,9
Aleksander Barkov,C,FLA,18.38,17,10.06,9
Logan O'Connor,R,COL,4.92,3,2.69,1
Matt Grzelcyk,D,BOS,6,8,4.32,4
Brett Ritchie,R,CGY,1.61,2,1.34,3
Jesperi Kotkaniemi,C,MTL,11.52,18,8.41,9
Devon Toews,D,COL,16.39,16,11.62,11
Morgan Frost,C,PHI,0.62,0,0.49,0
Sonny Milano,L,ANA,3.31,1,2.14,0
Andre Burakovsky,L,COL,9.52,12,7.4,11
Teuvo Teravainen,L,CAR,8.14,9,6.05,5
Sean Malone,C,NSH,0.4,1,0.92,2
Tony DeAngelo,D,NYR,2.99,3,2.54,9
Jordan Eberle,R,NYI,19.23,20,11.87,14
Charlie McAvoy,D,BOS,17.43,18,13.12,15
Carter Verhaeghe,C,FLA,19.48,19,12.06,10
Joel Armia,R,MTL,8.16,15,6.85,6
Jesper Bratt,L,NJD,8.61,9,7.41,9
Nino Niederreiter,R,CAR,16.77,16,11.91,8
Joel Edmundson,D,MTL,16.89,27,12.43,8
Jared McCann,C,PIT,7.78,16,5.67,5
Ondrej Kase,R,BOS,1.05,0,0.88,0
Anthony Duclair,L,FLA,12.72,13,7.42,8
Brett Kulak,D,MTL,11.43,12,8.71,7
Joe Pavelski,C,DAL,10.38,9,7.41,2
Matt Duchene,C,NSH,13.38,10,10.29,14
Nazem Kadri,C,COL,11.05,12,9.78,19
Jeff Petry,D,MTL,16.25,25,12.17,12
Filip Chlapik,C,OTT,0.32,1,0.2,0
Jeremy Davies,D,NSH,0.17,0,0.29,0
Alexander Romanov,D,MTL,12.92,16,11.55,10
Jake McCabe,D,BUF,8.4,10,5.15,8
Ryan Ellis,D,NSH,15.32,10,12.59,15
Sebastian Aho,C,CAR,15.79,15,12.66,10
Damon Severson,D,NJD,15.04,7,12.24,9
Viktor Arvidsson,R,NSH,14.08,14,11.19,16
Clayton Keller,R,ARI,16.11,19,12.84,12
