Population as of 1 January by regions and self-governed units,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
(thousands),,,,,,,,,,,,,,,,,,,,,,,,,,,
"regions, self-governed units",1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Georgia,"4,929.9","4,742.3","4,573.2","4,410.2","4,289.6","4,197.6","4,116.8","4,037.5","3,991.3","3,965.8","3,937.7","3,917.0","3,888.0","3,872.7","3,847.6","3,829.0","3,799.8","3,773.6","3,739.3","3,718.4","3,716.9","3,721.9","3,728.6","3,726.4","3,729.6","3,723.5","3,716.9"
C. Tbilisi Municipality,"1,250.7","1,205.3","1,164.4","1,131.4","1,103.1","1,085.2","1,072.8","1,062.2","1,062.2","1,062.8","1,060.6","1,067.2","1,064.6","1,103.5","1,103.0","1,105.4","1,100.0","1,097.7","1,091.2","1,092.0","1,101.2","1,115.7","1,132.0","1,145.5","1,158.7","1,171.1","1,184.8"
Abkhazia A.R.,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.6,1.6,1.6,1.6,1.5,1.5,1.5,-,-,-,-,-,-,-,-,-,-,-,-
Ajara Municipality,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.6,1.6,1.6,1.6,1.5,1.5,1.5,-,-,-,-,-,-,-,-,-,-,-,-
Adjara A.R.,423.0,411.0,391.6,374.0,366.3,360.0,353.0,347.4,342.1,341.0,340.0,338.6,336.4,335.1,333.2,332.4,332.5,332.2,331.9,332.5,333.2,336.6,340.2,343.0,346.3,349.0,351.9
C. Batumi Municipality,147.3,144.8,138.7,133.2,130.9,127.7,125.5,124.1,122.2,122.3,122.3,122.2,121.8,121.7,121.3,121.4,121.7,122.0,150.9,151.5,152.2,155.2,158.2,160.8,163.4,166.0,169.1
Keda Municipality,24.8,23.9,22.6,21.3,20.8,19.7,18.1,17.2,17.0,17.0,16.9,16.9,16.8,16.7,16.7,16.7,16.7,16.7,16.6,16.7,16.7,16.7,16.8,16.8,16.8,16.8,16.8
Kobuleti Municipality,99.8,96.7,93.0,88.9,86.9,85.1,83.2,80.5,78.9,78.4,78.0,77.5,76.8,76.3,75.7,75.3,75.2,75.0,74.7,74.7,74.7,74.5,74.1,73.6,73.4,72.8,72.2
Shuakhevi Municipality,20.7,20.0,18.8,18.2,18.1,18.4,18.8,18.3,18.4,18.1,17.9,17.6,17.3,16.9,16.6,16.4,16.1,15.9,15.7,15.4,15.2,15.2,15.1,15.1,15.1,15.1,15.0
Khelvachauri Municipality,93.6,90.1,85.2,80.7,78.4,78.8,78.5,80.0,77.4,77.5,77.6,77.6,77.5,77.5,77.4,77.5,78.0,78.2,49.8,50.3,50.8,51.1,51.5,51.8,52.1,52.4,52.6
Khulo Municipality,36.8,35.4,33.3,31.7,31.3,30.3,28.8,27.4,28.2,27.7,27.3,26.8,26.4,25.9,25.5,25.1,24.8,24.5,24.1,23.8,23.5,24.0,24.5,25.0,25.5,25.9,26.3
Guria,167.6,160.0,151.3,142.9,138.8,135.8,132.3,128.9,125.3,124.2,122.6,121.1,119.9,119.3,118.4,117.7,117.2,116.8,115.8,114.9,114.1,113.3,112.4,111.5,110.5,109.4,108.1
C. Ozurgeti*,,,,,,,,,,,,,,,,,,,,,,15.0,14.9,14.8,,,
Lanchkhuti Municipality,43.5,42.5,40.1,37.8,36.7,35.4,34.1,36.3,35.1,34.7,34.2,33.8,33.4,33.2,33.0,32.8,32.6,32.4,32.2,31.9,31.7,31.5,31.3,31.1,30.8,30.5,30.2
Ozurgeti Municipality,95.8,90.2,85.5,80.9,78.6,77.8,76.5,71.1,69.7,69.1,68.2,67.3,66.7,66.3,65.8,65.4,65.1,64.8,64.2,63.7,63.3,47.8,47.4,47.0,61.3,60.6,59.9
Chokhatauri Municipality,28.3,27.3,25.7,24.3,23.5,22.6,21.8,21.5,20.6,20.4,20.2,19.9,19.8,19.7,19.7,19.6,19.6,19.6,19.4,19.3,19.1,19.0,18.8,18.6,18.4,18.3,18.0
Imereti,786.4,764.1,740.4,718.7,697.0,677.1,658.7,642.7,632.1,622.7,614.4,605.7,596.3,590.6,582.0,576.2,568.6,559.4,550.6,542.8,538.3,531.0,523.7,514.4,507.0,497.4,487.0
