State,Abbreviation,Coldest,Warmest,Value,Units,BegDate,EndDate,Location,Station ID,Status
Alabama,AL,-27,112,degrees F,19660130,19660130,NEW MARKET 2,15867,E,
Alaska,AK,-80,100,degrees F,19710123,19710123,PROSPECT CREEK,507778,E,
Arizona,AZ,-40,128,degrees F,19710107,19710107,HAWLEY LAKE,23926,E,
Arkansas,AR,-29,120,degrees F,19050213,19050213,GRAVETTE,32930,E,
California,CA,-45,134,degrees F,19370120,19370120,BOCA,40931,E,
Colorado,CO,-61,115,degrees F,19850201,19850201,MAYBELL,55446,E,
Connecticut,CT,-32,106,degrees F,19430216,19430216,FALLS VILLAGE,62658,E1,
Delaware,DE,-17,110,degrees F,18930117,18930117,MILLSBORO,76020,E,
Florida,FL,-2,109,degrees F,18990213,18990213,TALLAHASSEE,88754,E,
Georgia,GA,-17,112,degrees F,19400127,19400127,CCC Fire Camp F-16 (nr. Beatum),,EA,"Record of -17 degrees F at Civilian Conservation Corps Logging Camp F-16 is congruent with similar low temperatures observed in the area on January 27, 1940. This observation is archived as part of the National Archives CCC collection."
Hawaii,HI,12,100,degrees F,19790517,19790517,MAUNA KEA OBSERVATORY 111.,516183,E,
Idaho,ID,-60,118,degrees F,19430118,19430118,ISLAND PARK,104598,E,
Illinois,IL,-38,117,degrees F,20190131,20190131,MOUNT CARROLL,115901,NS,"This value exceeded the previous record of -36 degrees F, observed at Congerville on 5 January 1999. View report"
Indiana,IN,-36,116,degrees F,19940119,19940119,NEW WHITELAND,126304,E,
Iowa,IA,-47,118,degrees F,19960203,19960203,ELKADER 6 SSW,132603,E1,
Kansas,KS,-40,121,degrees F,19050213,19050213,LEBANON,144598,E,
Kentucky,KY,-37,114,degrees F,19940119,19940119,SHELBYVILLE 1 E,157324,E,
Louisiana,LA,-16,114,degrees F,18990213,18990213,MINDEN,166244,E,
