Date,WorldCasesNoAmerica,WorldCasesPerDayNoAmerica,WorldCasesPerDayRateOfChangeNoAmerica,WorldDead,WorldDeadPerDay,WorldDeadPerDayRateOfChange,USPercentOfDailyCases,USDead,USDeadPerDay,USDeadPerDayRateOfChange,USTotalCases,USCasesPerDay,USCasesPerDayRateOfChange,USCasesPerDayRateOfChangeRollingAverage,SimpleCounter
1/22/2020,555,0,0,17,0,0,0,0,0,0,1,1,-1,0,1
1/23/2020,654,99,99,18,1,1,0,0,0,0,1,0,-1,-1,2
1/24/2020,941,287,188,26,8,7,0.347222222,0,0,0,2,1,1,0,3
1/25/2020,1434,493,206,42,16,8,0,0,0,0,2,0,-1,0,4
1/26/2020,2118,684,191,56,14,-2,0.436681223,0,0,0,5,3,3,0.4,5
1/27/2020,2927,809,125,82,26,12,0,0,0,0,5,0,-3,0,6
1/28/2020,5578,2651,1842,131,49,23,0,0,0,0,5,0,0,-0.428571429,7
1/29/2020,6166,588,-2063,133,2,-47,0,0,0,0,5,0,0,0,8
1/30/2020,8234,2068,1480,171,38,36,0,0,0,0,5,0,0,0,9
1/31/2020,9927,1693,-375,213,42,4,0.1179941,0,0,0,7,2,2,0.2,10
2/1/2020,12038,2111,418,259,46,4,0.047348485,0,0,0,8,1,-1,0.090909091,11
2/2/2020,16787,4749,2638,362,103,57,0,0,0,0,8,0,-1,-0.166666667,12
2/3/2020,19881,3094,-1655,426,64,-39,0.096867937,0,0,0,11,3,3,0.153846154,13
2/4/2020,23892,4011,917,492,66,2,0,0,0,0,11,0,-3,0,14
2/5/2020,27635,3743,-268,564,72,6,0,0,0,0,11,0,0,-0.2,15
2/6/2020,30794,3159,-584,634,70,-2,0,0,0,0,11,0,0,0,16
2/7/2020,34391,3597,438,719,85,15,0,0,0,0,11,0,0,0,17
2/8/2020,37120,2729,-868,806,87,2,0,0,0,0,11,0,0,0,18
2/9/2020,40150,3030,301,906,100,13,0,0,0,0,11,0,0,0,19
2/10/2020,42762,2612,-418,1013,107,7,0,0,0,0,11,0,0,0,20
2/11/2020,44802,2040,-572,1113,100,-7,0.04899559,0,0,0,12,1,1,0.047619048,21
2/12/2020,45221,419,-1621,1118,5,-95,0,0,0,0,12,0,-1,0,22
2/13/2020,60368,15147,14728,1371,253,248,0.006601532,0,0,0,13,1,1,0,23
2/14/2020,66885,6517,-8630,1523,152,-101,0,0,0,0,13,0,-1,0,24
2/15/2020,69030,2145,-4372,1666,143,-9,0,0,0,0,13,0,0,-0.04,25
2/16/2020,71224,2194,49,1770,104,-39,0,0,0,0,13,0,0,0,26
2/17/2020,73258,2034,-160,1868,98,-6,0,0,0,0,13,0,0,0,27
2/18/2020,75136,1878,-156,2007,139,41,0,0,0,0,13,0,0,0,28
2/19/2020,75639,503,-1375,2122,115,-24,0,0,0,0,13,0,0,0,29
2/20/2020,76197,558,55,2245,123,8,0,0,0,0,13,0,0,0,30
2/21/2020,76819,622,64,2249,4,-119,0.320512821,0,0,0,15,2,2,0.064516129,31
2/22/2020,78572,1753,1131,2456,207,203,0,0,0,0,15,0,-2,0,32
2/23/2020,78958,386,-1367,2466,10,-197,0,0,0,0,15,0,0,-0.060606061,33
2/24/2020,79561,603,217,2626,160,150,5.633802817,0,0,0,51,36,36,1.058823529,34
2/25/2020,80406,845,242,2705,79,-81,0,0,0,0,51,0,-36,0,35
2/26/2020,81388,982,137,2766,61,-18,0.607287449,0,0,0,57,6,6,-0.833333333,36
2/27/2020,82746,1358,376,2810,44,-17,0.073583517,0,0,0,58,1,-5,0.027027027,37
2/28/2020,84112,1366,8,2866,56,12,0.14619883,0,0,0,60,2,1,-0.105263158,38
2/29/2020,86011,1899,533,2935,69,13,0.419507079,1,1,1,68,8,6,0.179487179,39
3/1/2020,88369,2358,459,2991,56,-13,0.253807107,2,1,0,74,6,-2,0.1,40
3/2/2020,90315,1946,-412,3079,88,32,1.667508843,6,4,3,107,33,27,0.609756098,41
3/3/2020,92849,2534,588,3156,77,-11,0.783085356,9,3,-1,127,20,-13,0.333333333,42
3/4/2020,95128,2279,-255,3248,92,15,1.512532411,11,2,-1,162,35,15,0.046511628,43
3/5/2020,97893,2765,486,3341,93,1,2.365819209,12,1,-1,229,67,32,1.068181818,44
3/6/2020,101866,3973,1208,3456,115,22,2.526987242,17,5,4,332,103,36,1.511111111,45
3/7/2020,105885,4019,46,3554,98,-17,2.734753146,19,2,-3,445,113,10,1,46
3/8/2020,109853,3968,-51,3796,242,144,2.72125521,22,3,1,556,111,-2,0.170212766,47
3/9/2020,113700,3847,-121,3985,189,-53,3.5839599,26,4,1,699,143,32,0.625,48
3/10/2020,118655,4955,1108,4259,274,85,5.744721324,30,4,0,1001,302,159,3.897959184,49
3/11/2020,125818,7163,2208,4608,349,75,3.12415472,37,7,3,1232,231,-71,1.76,50
3/12/2020,128235,2417,-4746,4714,106,-243,11.75611537,40,3,-4,1554,322,91,0.392156863,51
3/13/2020,145186,16951,14534,5401,687,581,3.446115288,49,9,6,2159,605,283,7.192307692,52
3/14/2020,156031,10845,-6106,5823,422,-265,4.432499119,58,9,0,2662,503,-102,3.41509434,53
3/15/2020,167454,11423,578,6459,636,214,6.910602233,67,9,0,3510,848,345,4.5,54
3/16/2020,181280,13826,2403,7124,665,29,5.688949523,81,14,5,4344,834,-14,6.018181818,55
3/17/2020,196364,15084,1258,7915,791,126,8.470873786,100,19,5,5740,1396,562,9.785714286,56
3/18/2020,214892,18528,3444,8788,873,82,10.50572381,137,37,18,7915,2175,779,23.52631579,57
3/19/2020,241767,26875,8347,9864,1076,203,15.94996091,185,48,11,13015,5100,2925,63.86206897,58
3/20/2020,270739,28972,2097,11287,1423,347,14.42833092,223,38,-10,17900,4885,-215,45.93220339,59
3/21/2020,301422,30683,1711,12920,1633,210,13.37624573,247,24,-14,22638,4738,-147,-6.033333333,60
3/22/2020,335144,33722,3039,14620,1700,67,21.02021219,390,143,119,31613,8975,4237,67.04918033,61
3/23/2020,375153,40009,6287,16426,1806,106,18.92313616,462,72,-71,40951,9338,363,74.19354839,62
3/24/2020,416751,41598,1589,18677,2251,445,21.98131963,682,220,148,52671,11720,2382,43.57142857,63
3/25/2020,465820,49069,7471,21355,2678,427,18.99864637,897,215,-5,64180,11509,-211,33.921875,64
3/26/2020,527974,62154,13085,24227,2872,194,22.74015513,1177,280,65,82474,18294,6785,101.1384615,65
3/27/2020,591420,63446,1292,27550,3323,451,21.71799427,1539,362,82,100076,17602,-692,92.31818182,66
3/28/2020,657305,65885,2439,30998,3448,125,21.76107351,1944,405,43,118401,18325,723,0.462686567,67
3/29/2020,717510,60205,-5680,34304,3306,-142,25.15074284,2414,470,65,138631,20230,1905,38.64705882,68
3/30/2020,780841,63331,3126,38185,3881,575,25.89051676,2952,538,68,160756,22125,1895,55.07246377,69
3/31/2020,853867,73026,9695,42624,4439,558,24.94527067,3768,816,278,185027,24271,2146,57.72857143,70
4/1/2020,929998,76131,3105,47887,5263,824,25.63734396,4731,963,147,211274,26247,1976,58.05633803,71
4/2/2020,1009856,79858,3727,53690,5803,540,26.97428582,5812,1081,118,240772,29498,3251,72.59722222,72
4/3/2020,1093085,83229,3371,59533,5843,40,28.16416365,6987,1175,94,273403,32631,3133,87.45205479,73
4/4/2020,1172951,79866,-3363,65320,5787,-56,29.25388206,8218,1231,56,306428,33025,394,47.66216216,74
4/5/2020,1244615,71664,-8202,70133,4813,-974,26.77708412,9458,1240,9,332635,26207,-6818,-85.65333333,75
4/6/2020,1317530,72915,1251,75583,5450,637,29.69608732,10741,1283,43,363434,30799,4592,-29.28947368,76
